input\pic-city.png,97512,7.977397222167445
input\pic-finger-print.bmp,93238,0.5968936771791632
input\pic-nature.jpg,100571,7.923559602953276
input\text-cn.7z,25218,7.992353604975706
input\text-cn.txt,99124,5.689672171882956
input\text-cn.zip,28681,7.983058570233983
input\text-en.7z,12982,7.985390477583697
input\text-en.txt,36781,5.006715754478665
input\text-en.zip,13245,7.979203811251323
input\text-ru.7z,21636,7.992144198550399
input\text-ru.txt,93894,4.890103962433242
input\text-ru.zip,23567,7.992012725118528
